,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: BCC/FCC/other,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm)
40,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,116.0,,25.0,,,,,,226.0,,,
41,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,FCC,,,8.2,113.0,,25.0,,,,,,226.0,,,
51,Co1 Cr1 Fe1 Ni1 Ti1,FCC,CAST,FCC,,,7.2,,C,25.0,,2020.0,,9.0,135.0,195.0,,,
53,Al0.133 Co1 Cr0.667 Fe0.667 Ni1 Ti0.333,FCC,ANNEAL,FCC,,,7.6,487.0,,25.0,,,,,,201.0,,,
58,Al1 Co0.667 Cr0.667 Fe0.667 Ni0.667,BCC,CAST,BCC,,,6.2,402.0,,25.0,,,,,,171.0,,,
59,Al1 Co0.4 Cr0.4 Fe0.4 Ni0.4,BCC,CAST,BCC,,,5.6,487.0,,25.0,,,,,,152.0,,,
60,Al1 Co0.5 Cr0.5 Fe0.5 Ni0.5,BCC,CAST,BCC,,,5.9,432.0,,25.0,,,,,,160.0,,,
61,Al1 Co0.333 Cr0.333 Fe0.333 Ni0.333,BCC,CAST,BCC,,,5.3,506.0,,25.0,,,,,,145.0,,,
62,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,395.0,,25.0,,,,,,184.0,,,
64,Co1 Cr1 Cu1 Fe1 Ni1,FCC,CAST,FCC,,,8.3,286.0,,25.0,,,,,,206.0,,,
66,Cr1 Cu1 Fe1 Mo1 Ni1,FCC,CAST,FCC,,,8.7,263.0,,25.0,,,,,,236.0,,,
67,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25.0,1251.0,2004.0,,33.0,,184.0,,,
75,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25.0,1138.0,,,11.0,,184.0,,,
76,Al1 Co1 Cr1 Fe1 Mo0.1 Ni1,BCC,CAST,BCC,,,6.8,,C,25.0,1804.0,2280.0,,9.0,,188.0,,,
81,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25.0,1051.0,,,,,184.0,,,
82,Al1 Co1 Cr1 Fe1 Nb0.1 Ni1,BCC,CAST,BCC,,,6.8,569.0,C,25.0,1641.0,3285.0,,17.0,,182.0,,,
86,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,520.0,C,25.0,1373.0,3531.0,,25.0,,184.0,,,
101,Al1 Co1 Cr1 Fe1 Ni1,BCC,CAST,BCC,,,6.7,,C,25.0,1110.0,,,,,184.0,,,
103,Al1 Co1 Cr1 Fe1 Ni1 Si0.2,BCC,CAST,BCC,,,6.5,,C,25.0,1265.0,2173.0,,14.0,,176.0,,,
104,Al1 Co1 Cr1 Fe1 Ni1 Si0.4,BCC,CAST,BCC,,,6.2,,C,25.0,1481.0,2444.0,,13.0,,169.0,,,
105,Al1 Co1 Cr1 Fe1 Ni1 Si0.6,BCC,CAST,BCC,,,6.0,,C,25.0,1834.0,2195.0,,3.0,,162.0,,,
107,Al0.25 Co1 Cr1 Cu0.5 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.4,,,25.0,,,,,,192.0,,,
108,Al0.25 Co1 Cr1 Cu0.75 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.5,,C,25.0,750.0,1970.0,,39.0,103.0,189.0,,,
111,Co1 Cr1 Cu1 Fe1 Ni1 Ti0.5,FCC,CAST,FCC,,,7.8,,C,25.0,700.0,1650.0,,29.0,93.0,194.0,,,
116,Al1 Co1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,6.2,790.0,,25.0,,,,,,129.0,,,
117,Al1 Fe1 Ni1 Ti1 V1 Zr1,BCC,CAST,BCC,,,5.9,800.0,,25.0,,,,,,119.0,,,
124,Al0.1 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.9,180.0,,25.0,,,,,,216.0,,,
125,Al0.2 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.7,171.0,T,25.0,220.0,,56.0,,,212.0,,,
126,Al0.38 Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,7.5,182.0,T,25.0,244.0,,45.0,,,205.0,,,
136,Al1 Co0.8 Cr0.8 Fe0.8 Mn0.8 Ni0.8,BCC,CAST,BCC,,,6.6,539.0,,25.0,,,,,,180.0,,,
137,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,,,8.0,176.0,T,25.0,208.0,,62.0,,,220.0,,,
138,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,FCC,300.0,,8.0,144.0,C,25.0,,,,,,220.0,,,
139,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,FCC,350.0,,8.0,135.0,C,25.0,230.0,,,75.0,,220.0,,,
140,Co1 Cr1 Fe1 Mn1 Ni1 V0.25,FCC,CAST,FCC,120.0,,7.9,151.0,C,25.0,,,,,,215.0,,,
142,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,CAST,FCC,220.0,,7.8,186.0,C,25.0,,,,,,210.0,,,
143,Co1 Cr1 Fe1 Mn1 Ni1 V0.5,FCC,ANNEAL,FCC,250.0,,7.8,275.0,C,25.0,620.0,,,75.0,,210.0,,,
149,Al0.333 Cr0.667 Fe1 Mn0.667 Ni0.333,BCC,CAST,BCC,,,7.0,396.0,,25.0,,,,,,201.0,,,
155,Al0.3 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.7,180.0,,25.0,,,,,,194.0,,,
156,Al0.5 Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,7.4,207.0,,25.0,,,,,,187.0,,,
164,Al1 Co0.357 Cr0.357 Cu0.357 Fe0.357,BCC,,BCC,,,5.5,657.0,,25.0,,,,,,139.0,,,
165,Al1 Co0.333 Cr0.333 Cu0.333 Fe0.333,BCC,,BCC,,,5.4,644.0,,25.0,,,,,,136.0,,,
167,Co1 Cr1 Cu1 Fe1,FCC,,FCC,,,8.2,134.0,,25.0,,,,,,208.0,,,
168,Co1 Cr1 Cu0.5 Fe1 Ni1,FCC,CAST,FCC,,,8.3,172.0,,25.0,,,,,,215.0,,,
