,FORMULA,PROPERTY: Microstructure,PROPERTY: Processing method,PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: Type of test,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: Calculated Young modulus (GPa)
584,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,1200.0,586.0,222.0
585,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,25.0,1343.0,222.0
589,Mo1 Nb1 Ta1 V1 W1,BCC,POWDER,12.4,C,25.0,2612.0,229.0
590,Nb1 Ta1 Ti1 V1,BCC,CAST,9.2,C,25.0,965.0,134.0
591,Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.1,C,25.0,1420.0,187.0
592,Nb1 Ta1 V1 W1,BCC,CAST,12.9,C,25.0,1530.0,206.0
597,Al0.25 Cr0.5 Nb0.5 Ti1 V0.25,BCC,CAST,5.8,C,25.0,1240.0,134.0
598,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,5.6,C,600.0,1005.0,119.0
599,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,5.6,C,800.0,640.0,119.0
600,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,5.6,C,1000.0,40.0,119.0
601,Al1 Cr0.5 Nb1 Ti1 V1,BCC,ANNEAL,5.6,C,25.0,1300.0,119.0
610,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,C,600.0,780.0,104.0
611,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,C,800.0,560.0,104.0
612,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,C,1000.0,110.0,104.0
613,Al1 Nb1 Ti1 V1,BCC,ANNEAL,5.5,C,25.0,1000.0,104.0
630,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,370.0,220.0
645,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,7.6,T,25.0,159.0,210.0
648,Al0.304 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,7.6,T,25.0,263.0,210.0
678,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC,CAST,8.6,T,25.0,350.0,234.0
684,Co1 Cr0.429 Fe0.571 Mo0.286 Ni0.571,FCC,WROUGHT,8.6,T,25.0,350.0,234.0
685,Co1 Cr1 Fe1 Ni1,FCC,CAST,8.2,T,25.0,155.0,226.0
692,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,243.0,220.0
694,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,249.0,220.0
696,Co1 Cr1 Fe1 Ni1,FCC,ANNEAL,8.2,T,25.0,190.0,226.0
697,Al0.167 Co1 Cr1 Fe1 Ni1 Ti0.083,FCC,ANNEAL,7.8,T,25.0,210.0,214.0
724,Co1 Cr1 Fe1 Mn1 Ni1,FCC,ANNEAL,8.0,C,25.0,230.0,220.0
734,Al0.108 Co0.514 Cr0.514 Cu0.108 Fe0.514 Ni1,FCC,WROUGHT,8.0,T,25.0,719.0,209.0
740,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,WROUGHT,7.6,T,25.0,1290.0,189.0
748,Al0.5 Co1 Cr1 Cu1 Fe1 Ni1,FCC,WROUGHT,7.6,T,700.0,180.0,189.0
750,Co1 Cr1 Fe1 Ni1 Ti0.2,FCC,WROUGHT,7.9,T,25.0,700.0,218.0
751,Co1 Cr1 Fe1 Ni1 Ti0.2,FCC,WROUGHT,7.9,T,-196.0,860.0,218.0
752,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.0,T,25.0,1198.0,220.0
753,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.0,T,25.0,1403.0,220.0
754,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.0,T,25.0,711.0,220.0
755,Al0.1 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.0,T,25.0,356.0,220.0
756,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1120.0,220.0
757,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,-196.0,1692.0,220.0
762,Al0.25 Cr0.417 Fe0.417 Ni1,FCC,CAST,7.3,T,25.0,441.0,196.0
763,Co1 Cr1 Ni1,FCC,WROUGHT,8.3,T,25.0,1100.0,231.0
764,Co1 Cr1 Ni1,FCC,WROUGHT,8.3,T,25.0,597.0,231.0
765,Co1 Cr1 Ni1,FCC,WROUGHT,8.3,T,25.0,346.0,231.0
769,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,8.0,C,25.0,210.0,220.0
770,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,C,25.0,1150.0,220.0
771,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,C,25.0,1300.0,220.0
772,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,C,25.0,1108.0,134.0
773,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,C,25.0,1308.0,134.0
774,Nb1 Ta1 Ti1 V1,BCC,POWDER,9.2,C,25.0,1373.0,134.0
775,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,300.0,220.0
776,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,800.0,220.0
783,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,20.0,446.0,226.0
784,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,-73.0,488.0,226.0
785,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,-196.0,590.0,226.0
788,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,-268.8,680.0,226.0
794,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,8.0,C,25.0,216.0,220.0
795,Co1 Cr1 Fe1 Mn1 Mo0.042 Ni1,FCC,CAST,8.1,C,25.0,225.0,221.0
805,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,378.7,220.0
810,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,8.6,T,25.0,1100.0,231.0
811,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,8.6,T,25.0,950.0,231.0
812,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,8.6,T,25.0,649.0,231.0
813,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,8.6,T,25.0,439.0,231.0
814,Co1 Cr0.588 Fe0.176 Mo0.176 Ni1,FCC,WROUGHT,8.6,T,25.0,309.0,231.0
815,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,386.2,220.0
838,Al0.3 Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,7.6,T,25.0,159.0,210.0
841,Co0.5 Cr0.5 Fe1 Ni1,FCC,WROUGHT,8.2,T,25.0,214.0,219.0
842,Co0.875 Cr0.625 Fe1 Ni1,FCC,WROUGHT,8.3,T,25.0,241.0,220.0
843,Co1 Cr0.556 Fe0.667 Ni0.667,FCC,WROUGHT,8.3,T,25.0,299.0,222.0
896,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,BCC,WROUGHT,8.0,T,25.0,1290.0,220.0
900,Co0.986 Cr0.952 Fe0.933 Mn0.914 Ni1,FCC,WROUGHT,8.0,T,25.0,270.0,220.0
902,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.1,C,23.0,1841.0,107.0
903,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,6.0,C,23.0,1100.0,189.0
904,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.5,C,23.0,1100.0,151.0
905,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,9.0,C,23.0,1260.0,126.0
906,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,23.0,1512.0,137.0
907,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,23.0,1575.0,128.0
908,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,23.0,1600.0,143.0
909,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,23.0,929.0,107.0
910,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,C,23.0,1515.0,209.0
911,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,23.0,1343.0,222.0
912,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,12.4,C,23.0,1246.0,229.0
913,Mo1 Nb1 Ta1 W1,BCC,OTHER,13.7,C,23.0,996.0,250.0
914,Mo1 Nb1 Ti1,BCC,OTHER,7.7,C,23.0,1100.0,177.0
915,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,7.4,C,23.0,882.0,101.0
916,Nb1 Ti1 Zr1,BCC,OTHER,6.5,C,23.0,975.0,94.0
928,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.1,C,1000.0,298.0,107.0
929,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,6.0,C,1000.0,375.0,189.0
930,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.5,C,1000.0,540.0,151.0
931,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,9.0,C,1000.0,368.0,126.0
932,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,1000.0,814.0,137.0
933,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,1000.0,635.0,128.0
934,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,1000.0,855.0,143.0
935,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,1000.0,295.0,107.0
936,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,C,1000.0,753.0,209.0
937,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,1000.0,620.0,222.0
938,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,12.4,C,1000.0,842.0,229.0
939,Mo1 Nb1 Ta1 W1,BCC,OTHER,13.7,C,1000.0,548.0,250.0
940,Mo1 Nb1 Ti1,BCC,OTHER,7.7,C,1000.0,504.0,177.0
941,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,7.4,C,1000.0,274.0,101.0
942,Nb1 Ti1 Zr1,BCC,OTHER,6.5,C,1000.0,141.0,94.0
954,Al0.4 Hf0.6 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.1,C,1200.0,89.0,107.0
955,Al1 Cr1 Mo1 Ti1,BCC,ANNEAL,6.0,C,1200.0,100.0,189.0
956,Al1 Mo1 Nb1 Ti1,BCC,ANNEAL,6.5,C,1200.0,200.0,151.0
957,Hf1 Mo0.5 Nb1 Ti1 V0.5,BCC,CAST,9.0,C,1200.0,60.0,126.0
958,Hf1 Mo1 Nb1 Ta1 Ti1 Zr1,BCC,CAST,9.9,C,1200.0,556.0,137.0
959,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,1200.0,187.0,128.0
960,Hf1 Mo1 Ta1 Ti1 Zr1,BCC,CAST,10.2,C,1200.0,404.0,143.0
961,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,OTHER,9.9,C,1200.0,92.0,107.0
962,Mo1 Nb1 Ta1 Ti1 V1 W1,BCC,CAST,11.0,C,1200.0,659.0,209.0
963,Mo1 Nb1 Ta1 Ti1 W1,BCC,CAST,11.8,C,1200.0,586.0,222.0
964,Mo1 Nb1 Ta1 V1 W1,BCC,OTHER,12.4,C,1200.0,735.0,229.0
965,Mo1 Nb1 Ta1 W1,BCC,OTHER,13.7,C,1200.0,506.0,250.0
966,Mo1 Nb1 Ti1,BCC,OTHER,7.7,C,1200.0,324.0,177.0
967,Nb1 Ta0.3 Ti1 Zr1,BCC,OTHER,7.4,C,1200.0,102.0,101.0
968,Nb1 Ti1 Zr1,BCC,OTHER,6.5,C,1200.0,61.0,94.0
980,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,293.1,220.0
981,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,985.0,107.0
982,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,972.0,107.0
983,Hf1 Nb1 Ta1 Ti1 Zr1,BCC,WROUGHT,9.9,T,25.0,967.0,107.0
985,Co1 Fe1 Ni1,FCC,WROUGHT,8.5,T,25.0,276.0,207.0
986,Co1 Fe1 Ni1,FCC,WROUGHT,8.5,T,25.0,217.0,207.0
987,Co1 Fe1 Ni1,FCC,WROUGHT,8.5,T,25.0,201.0,207.0
992,Hf1 Mo1 Nb1 Ti1 Zr1,BCC,CAST,8.7,C,25.0,1719.0,128.0
995,Fe1 Mn1 Ni1,FCC,WROUGHT,8.1,T,25.0,529.0,203.0
996,Fe1 Mn1 Ni1,FCC,WROUGHT,8.1,T,25.0,522.0,203.0
997,Fe1 Mn1 Ni1,FCC,WROUGHT,8.1,T,25.0,460.0,203.0
998,Fe1 Mn1 Ni1,FCC,WROUGHT,8.1,T,25.0,407.0,203.0
999,Fe1 Mn1 Ni1,FCC,WROUGHT,8.1,T,25.0,372.0,203.0
1000,Fe1 Mn1 Ni1,FCC,WROUGHT,8.1,T,25.0,322.0,203.0
1001,Co1 Mn1 Ni1,FCC,WROUGHT,8.4,T,25.0,333.0,202.0
1002,Co1 Mn1 Ni1,FCC,WROUGHT,8.4,T,25.0,601.0,202.0
1003,Co1 Mn1 Ni1,FCC,WROUGHT,8.4,T,25.0,321.0,202.0
1004,Co1 Mn1 Ni1,FCC,WROUGHT,8.4,T,25.0,267.0,202.0
1005,Co1 Cr0.25 Ni1,FCC,WROUGHT,8.7,T,25.0,745.0,213.0
1006,Co1 Cr0.25 Ni1,FCC,WROUGHT,8.7,T,25.0,623.0,213.0
1007,Co1 Cr0.25 Ni1,FCC,WROUGHT,8.7,T,25.0,387.0,213.0
1008,Co1 Cr0.25 Ni1,FCC,WROUGHT,8.7,T,25.0,330.0,213.0
1009,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,25.0,631.0,226.0
1010,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,25.0,494.0,226.0
1011,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,25.0,448.0,226.0
1012,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,25.0,273.0,226.0
1013,Co1 Cr1 Fe1 Ni1,FCC,WROUGHT,8.2,T,25.0,172.0,226.0
1014,Co0.25 Cr1 Ni1,FCC,WROUGHT,8.1,T,25.0,518.0,238.0
1015,Co0.25 Cr1 Ni1,FCC,WROUGHT,8.1,T,25.0,462.0,238.0
1016,Co0.25 Cr1 Ni1,FCC,WROUGHT,8.1,T,25.0,395.0,238.0
1017,Co0.25 Cr1 Ni1,FCC,WROUGHT,8.1,T,25.0,356.0,238.0
1029,Co1 Cr1 Fe1 Mn1 Ni1,FCC,CAST,8.0,T,25.0,210.0,220.0
1030,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1150.0,220.0
1031,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1300.0,220.0
1032,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1050.0,220.0
1033,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,560.0,220.0
1034,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,520.0,220.0
1035,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,320.0,220.0
1036,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,280.0,220.0
1037,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,8.4,T,-196.0,419.0,202.0
1038,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,8.4,T,-70.0,350.0,202.0
1039,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,8.4,T,20.0,252.0,202.0
1040,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,8.4,T,600.0,214.0,202.0
1041,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,8.4,T,700.0,212.0,202.0
1042,Co0.5 Fe0.5 Mo0.1 Ni1 V0.25,FCC,CAST,8.4,T,800.0,187.0,202.0
1068,Mo1 Nb1 Re0.5 W1,BCC,CAST,13.7,C,25.0,896.0,298.0
1073,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,23.0,520.0,185.0
1074,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,600.0,470.0,185.0
1075,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,700.0,461.0,185.0
1076,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,800.0,445.0,185.0
1077,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,900.0,219.0,185.0
1078,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,23.0,627.0,185.0
1079,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,600.0,594.0,185.0
1080,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,700.0,547.0,185.0
1081,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,800.0,399.0,185.0
1082,Al0.278 Co0.694 Cr0.222 Fe0.417 Ni1 Ti0.167,FCC,ANNEAL,7.4,T,900.0,243.0,185.0
1083,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,7.9,T,25.0,401.0,208.0
1084,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,7.9,T,25.0,350.0,208.0
1085,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,7.9,T,25.0,312.0,208.0
1086,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,7.9,T,25.0,240.0,208.0
1087,Co0.286 Cr0.429 Fe1 Mn0.143 Ni0.714 V0.286,FCC,WROUGHT,7.9,T,25.0,210.0,208.0
1121,Nb1 Ti1 Zr1,BCC,CAST,6.5,C,25.0,1223.0,94.0
1122,Hf1 Nb1 Ti1 Zr1,BCC,CAST,8.4,C,25.0,1000.0,89.0
1125,Nb1 Ti1 Zr1,BCC,CAST,6.5,C,800.0,462.0,94.0
1126,Hf1 Nb1 Ti1 Zr1,BCC,CAST,8.4,C,800.0,303.0,89.0
1127,Nb1 Ti1 Zr1,BCC,CAST,6.5,C,1000.0,218.0,94.0
1128,Hf1 Nb1 Ti1 Zr1,BCC,CAST,8.4,C,1000.0,154.0,89.0
1129,Co1 Cr1 Fe1 Ni1,FCC,CAST,8.2,C,25.0,163.0,226.0
1130,Co1 Cr1 Fe1 Ni1 W0.2,FCC,CAST,8.9,C,25.0,335.0,238.0
1135,Al0.15 Cr0.5 Cu0.25 Fe0.5 Ni1,FCC,WROUGHT,7.8,T,25.0,62.0,200.0
1181,Co1 Cr1 Fe1 Ni1 Ti0.3,FCC,WROUGHT,7.8,T,25.0,540.0,214.0
1184,Co0.333 Cr0.667 Fe0.667 Ni1 Ti0.2,FCC,WROUGHT,7.8,T,25.0,586.0,213.0
1185,Cr0.5 Fe0.5 Ni1 Ti0.15,FCC,WROUGHT,7.8,T,25.0,672.0,212.0
1187,Nb1 Ta1 Ti1,BCC,WROUGHT,10.0,C,20.0,573.0,136.0
1188,Nb1 Ta1 Ti1,BCC,WROUGHT,10.0,C,100.0,486.0,136.0
1189,Nb1 Ta1 Ti1,BCC,WROUGHT,10.0,C,200.0,378.0,136.0
1190,Nb1 Ta1 Ti1,BCC,WROUGHT,10.0,C,300.0,314.0,136.0
1191,Nb1 Ta1 Ti1,BCC,WROUGHT,10.0,C,400.0,232.0,136.0
1192,Nb1 Ta1 Ti1,BCC,WROUGHT,10.0,C,600.0,222.0,136.0
1193,Nb1 Ta1 Ti1,BCC,WROUGHT,10.0,C,800.0,210.0,136.0
1194,Nb1 Ta1 Ti1,BCC,WROUGHT,10.0,C,1000.0,160.0,136.0
1195,Al1 Nb1 Ta1 Ti1,BCC,CAST,8.2,C,20.0,1152.0,120.0
1196,Al1 Nb1 Ta1 Ti1,BCC,CAST,8.2,C,200.0,740.0,120.0
1197,Al1 Nb1 Ta1 Ti1,BCC,CAST,8.2,C,100.0,740.0,120.0
1198,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,20.0,1210.0,179.0
1199,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,60.0,1071.0,179.0
1200,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,100.0,1029.0,179.0
1201,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,200.0,868.0,179.0
1202,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,300.0,732.0,179.0
1203,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,400.0,685.0,179.0
1204,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,600.0,593.0,179.0
1205,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,800.0,564.0,179.0
1206,Mo1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.0,C,1000.0,539.0,179.0
1207,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,12.1,C,20.0,1054.0,198.0
1208,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,12.1,C,100.0,968.0,198.0
1209,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,12.1,C,200.0,869.0,198.0
1210,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,12.1,C,300.0,754.0,198.0
1211,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,12.1,C,400.0,627.0,198.0
1212,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,12.1,C,600.0,596.0,198.0
1213,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,12.1,C,800.0,564.0,198.0
1214,Nb1 Ta1 Ti1 W1,BCC,ANNEAL,12.1,C,1000.0,459.0,198.0
1215,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.9,C,20.0,860.0,119.0
1216,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.9,C,20.0,834.0,119.0
1217,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.9,C,200.0,610.0,119.0
1218,Hf1 Nb1 Ta1 Ti1,BCC,ANNEAL,10.9,C,600.0,473.0,119.0
1219,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,7.6,C,20.0,1630.0,196.0
1220,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,7.6,C,200.0,1268.0,196.0
1221,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,7.6,C,400.0,1115.0,196.0
1222,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,7.6,C,600.0,1062.0,196.0
1223,Cr1 Mo1 Nb1 Ti1,BCC,ANNEAL,7.6,C,800.0,1058.0,196.0
1232,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,6.5,C,25.0,1160.0,100.0
1233,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,6.5,C,600.0,405.0,100.0
1234,Hf0.25 Ti1 V0.5 Zr0.5,BCC,CAST,6.5,C,800.0,85.0,100.0
1235,Hf0.25 Nb0.125 Ti1 V0.5 Zr0.5,BCC,CAST,6.6,C,25.0,1115.0,100.0
1236,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,6.7,C,25.0,1065.0,100.0
1237,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,6.7,C,600.0,718.0,100.0
1238,Hf0.25 Nb0.25 Ti1 V0.5 Zr0.5,BCC,CAST,6.7,C,800.0,135.0,100.0
1239,Hf0.25 Nb0.375 Ti1 V0.5 Zr0.5,BCC,CAST,6.8,C,25.0,1025.0,100.0
1240,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,6.9,C,25.0,980.0,101.0
1241,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,6.9,C,600.0,859.0,101.0
1242,Hf0.25 Nb0.5 Ti1 V0.5 Zr0.5,BCC,CAST,6.9,C,800.0,195.0,101.0
1274,Co0.25 Cr0.25 Fe1 Mn1,FCC,CAST,7.7,T,25.0,213.0,212.0
1275,Co0.25 Cr0.25 Fe1 Mn1,FCC,CAST,7.7,T,25.0,393.0,212.0
1276,Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,7.7,T,25.0,792.0,212.0
1277,Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,7.7,T,25.0,559.0,212.0
1278,Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,7.7,T,25.0,512.0,212.0
1279,Co0.25 Cr0.25 Fe1 Mn1,FCC,WROUGHT,7.7,T,25.0,476.0,212.0
1280,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,353.0,220.0
1288,Mo1 Nb1 Ta1 W1,BCC,POWDER,13.7,C,25.0,1217.0,250.0
1309,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1199.26,220.0
1310,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1269.23,220.0
1311,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1371.21,220.0
1312,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1362.74,220.0
1313,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,1241.81,220.0
1314,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,930.3,220.0
1315,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,729.21,220.0
1316,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,494.82,220.0
1317,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,366.88,220.0
1318,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,290.65,220.0
1319,Co1 Cr1 Fe1 Mn1 Ni1,FCC,WROUGHT,8.0,T,25.0,258.76,220.0
1340,Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,CAST,7.5,T,25.0,280.0,204.0
1341,Al0.286 Cr0.343 Fe1 Mn0.657 Ni0.571,FCC,WROUGHT,7.2,T,25.0,320.0,195.0
1342,Al0.143 Cr0.343 Fe1 Mn0.8 Ni0.571,FCC,CAST,7.5,T,25.0,1253.0,204.0
